,url,headline,details,date
0,https://www.reuters.com//article/uk-factcheck-antarctica-research-base/fact-check-photo-shows-south-african-research-base-in-antarctica-built-on-top-of-a-rocky-outcrop-idUSKCN2AV1YV,Fact check: Photo shows South African research base in Antarctica built on top of a rocky outcrop,"Some users on social media claim that a photograph shows “military camps in Antarctica” built on top of a “giant tree stump”. This is false, the image shows the SANAE IV Station, a South African research base in Antarctica, built on top of a rocky outcrop.  ",03-03-2021
1,https://www.reuters.com//article/uk-factcheck-mcconnell-inheritance-wife/factchecksenator-mitchell-mcconnellsnet-worth-increase-is-due-to-family-inheritance-in2007-idUSKCN2AV1WM,Fact check: Senator Mitchell McConnell’s net worth increase is due to family inheritance in 2007,Social media users have been sharing posts online that question how Senator Mitchell McConnell’s net worth increased drastically between 2005 and 2015 if he was on a senator’s salary. This increase was due to a family inheritance received by his wife in 2007.  ,03-03-2021
2,https://www.reuters.com//article/uk-factcheck-rachel-levine-reassignment/factcheckdr-rachel-levine-during-hearingdid-notconfirm-or-deny-supportfor-children-having-gender-reassignment-surgery-without-parentalconsent-idUSKCN2AU1XD,"Fact check: Dr Rachel Levine, during hearing, did not confirm or deny support for children having gender reassignment surgery without parental consent","Social media users have been sharing posts online which claim that Dr Rachel Levine, former Secretary of Health for the Commonwealth of Pennsylvania and now President Joe Biden’s new assistant health secretary, believes children should be allowed to have gender reassignment surgery without parental consent. There is no evidence to support this claim.   ",03-03-2021
3,https://www.reuters.com//article/uk-factcheck-trump-pray-statue/fact-check-photo-of-trump-praying-with-faith-leaders-altered-to-replace-him-with-golden-statue-idUSKCN2AU2OC,Fact check: Photo of Trump praying with faith leaders altered to replace him with golden statue,Social media users have been sharing posts online showing a photograph of faith leaders praying to a golden statue of Trump. This photograph has been altered to replace Donald Trump with a golden statue of him.,02-03-2021
4,https://www.reuters.com//article/uk-factcheck-trump-davos-2018-not-2021/fact-check-footage-of-trump-arriving-at-davos-switzerland-is-from-january-2018-idUSKCN2AU2NN,"Fact check: Footage of Trump arriving at Davos, Switzerland is from January 2018","Posts on social media claim to show former U.S. president Donald Trump on a “surprise visit” to Switzerland on March 1, 2021. The footage in question is over three years old, taken of Trump arriving in Davos for the World Economic Forum on Jan. 25, 2018.",02-03-2021
5,https://www.reuters.com//article/uk-factcheck-hydroxychloroquine-journal/fact-check-the-american-journal-of-medicine-has-not-endorsed-hydroxychloroquine-to-treat-covid-19-idUSKCN2AU2MR,Fact Check: The American Journal of Medicine has not endorsed hydroxychloroquine to treat COVID-19,"A Facebook post which erroneously says that the American Journal of Medicine (AJM) reported that hydroxychloroquine  can “cure” COVID-19, is contradicted by a recent response by the AJM which explicitly says that such claims are inaccurate and that studies show the treatment does “more harm than good.”",02-03-2021
6,https://www.reuters.com//article/uk-factcheck-potassium/fact-check-tiny-amounts-of-potassium-in-vaccine-doses-are-not-harmful-idUSKCN2AU2KY,Fact check: Tiny amounts of potassium in vaccine doses are not harmful,"A popular Facebook post, described as being written by an anonymous doctor, falsely claims that Potassium Chloride, which is an ingredient in some vaccines, is dangerous in any amount and that it will kill recipients or causes miscarriages. Potassium Chloride in small amounts is safe and is given intravenously to treat potassium depletion. Monitoring of people who received vaccines for COVID-19 indicates that the vaccines are safe.",02-03-2021
7,https://www.reuters.com//article/uk-factcheck-mrna-vaccines/fact-check-there-is-no-scientific-evidence-that-mrna-vaccines-will-reduce-the-population-idUSKCN2AU2KR,Fact check: There is no scientific evidence that mRNA vaccines will reduce the population,A claim being shared online that says mRNA vaccines for coronavirus could halve the population in five years by killing most people who receive them is not based in any scientific fact. Vaccines for COVID-19 have been proven to be safe and effective.,02-03-2021
8,https://www.reuters.com//article/uk-factcheck-spain-carehome/fact-check-spanish-care-home-deaths-caused-by-covid-19-not-vaccine-idUSKCN2AU2DV,"Fact check: Spanish care home deaths caused by COVID-19, not vaccine",A false claim that the coronavirus vaccine was linked to the deaths of 46 care home residents in Spain has been shared across social media.,02-03-2021
9,https://www.reuters.com//article/uk-factcheck-flat-earther-tree-conspirac/fact-check-image-of-alleged-building-inside-stump-is-not-a-real-photograph-but-an-artists-collage-idUSKCN2AU1YD,"Fact check: Image of alleged ‘building inside stump’ is not a real photograph, but an artist’s collage","Suggesting that a collage made by an artist is an unaltered photograph, a post on Facebook showing a tall building inside a giant tree stump has been shared as alleged proof of a “Flat Earth” conspiracy theory that real trees no longer exist. The post does not show a genuine photograph, but rather a collage made by Spanish artist Fernando Martin Godoy in 2015. ",02-03-2021
0,https://www.reuters.com//article/uk-factcheck-dublin-protest/fact-check-video-shows-garda-running-at-protesters-after-firework-was-launched-towards-officers-idUSKCN2AT3L3,Fact check: Video shows Gardaí running at protesters after firework was launched towards officers,"Videos have circulated online that show Irish police running towards protestors and using batons. While the video is authentic, some of the clips have been shortened to remove the incident that preceded the police charge.",01-03-2021
1,https://www.reuters.com//article/uk-factcheck-operation-talon/fact-check-decision-to-postpone-operation-talon-was-made-by-ice-and-not-biden-administration-dhs-says-idUSKCN2AT3KS,"Fact check: Decision to postpone Operation Talon was made by ICE and not Biden administration, DHS says","A month into U.S. President Joe Biden’s administration, posts circulated on social media claiming that the new president had canceled Operation Talon, a U.S. Immigration and Customs Enforcement (ICE) initiative aimed at deporting sex offenders living in the United States illegally. The Department of Homeland Security (DHS) told Reuters the operation was not canceled but postponed, and the logistical decision to do so was made by ICE operators, not the president.  ",01-03-2021
2,https://www.reuters.com//article/uk-factcheck-masks-lockdowns-covid/fact-check-studies-do-show-face-masks-and-lockdowns-slow-the-spread-of-covid-19-idUSKCN2AT3JQ,Fact check: Studies do show face masks and lockdowns slow the spread of COVID-19,Social media users have been sharing posts online that claim there is no evidence that face masks or lockdowns slow the spread of COVID-19. This claim is false.,01-03-2021
3,https://www.reuters.com//article/uk-factcheck-maxine-waters-gun-tweet/fact-checktweetabout-gun-control-attributed-tocongresswomanmaxine-watersisfrom-a-parody-twitter-account-idUSKCN2AT2ZY,Fact check: Tweet about gun control attributed to Congresswoman Maxine Waters is from a parody Twitter account,Social media users have been sharing a tweet about gun control attributed to Congresswoman Maxine Waters. This tweet was not actually shared by Waters but was posted on a parody Twitter account. ,01-03-2021
4,https://www.reuters.com//article/uk-factcheck-orwell-quote-corrupt/fact-check-fabricated-george-orwell-quote-about-people-who-elect-corrupt-politicians-idUSKCN2AT2W5,Fact check: Fabricated George Orwell quote about people who elect corrupt politicians,A quote falsely attributed to George Orwell saying that people who elect corrupt politicians are not victims but accomplices is circulating online. The Orwell Society and The Orwell Foundation confirmed to Reuters that this quote does not belong to the English writer.,01-03-2021
5,https://www.reuters.com//article/uk-factcheck-dreamworks-china/fact-check-dreamworks-animation-cbs-cnbc-and-abc-are-owned-by-american-companies-idUSKCN2AT2VM,"Fact check: DreamWorks Animation, CBS, CNBC and ABC are owned by American companies","Social media users have been sharing posts which say DreamWorks is owned by “communist China” and that DreamWorks owns CBS, CNBC and ABC, meaning their stories are influenced by China. This claim is partly false: Chinese company Alibaba Pictures has a minority stake in Amblin Partners which uses the DreamWorks Pictures brand for some films. However, the company DreamWorks Animation and CNBC are owned by the American company NBCUniversal. CBS and ABC are also owned by American companies.",01-03-2021
6,https://www.reuters.com//article/uk-factcheck-covid-vaccine-ingredients/fact-check-covid-19-vaccines-do-not-contain-the-ingredients-listed-in-these-posts-idUSKBN2AQ2SW,Fact check: COVID-19 vaccines do not contain the ingredients listed in these posts,"Social media users have been sharing posts online that claim COVID-19 vaccines contain human aborted fetus cells, triton X-100, thimerosal, and aluminum. This claim is false.",26-02-2021
7,https://www.reuters.com//article/uk-factcheck-pelosi-planes/fact-check-old-false-claim-about-nancy-pelosi-ordering-a-200-seat-boeing-757-to-fly-to-california-resurfaces-idUSKBN2AQ2GV,Fact check: Old false claim about Nancy Pelosi ordering a 200 seat Boeing 757 to fly to California resurfaces,"Shared thousands of times since mid-February 2021, posts on social media claim that U.S. House Speaker Nancy Pelosi uses a “200 seat Boeing 757” to fly to her home state every weekend. This claim has been circulating since 2008 and has repeatedly been debunked since. ",26-02-2021
8,https://www.reuters.com//article/uk-factcheck-photo-mars/factcheckphotodoes-not-showactual-image-of-earth-venus-and-jupiter-as-seen-from-marsbut-an-illustration-idUSKBN2AQ2EM,"Fact check: Photo does not show actual image of Earth, Venus and Jupiter as seen from Mars but an illustration","Social media users have been sharing an image online that claims to show Earth, Venus and Jupiter in a red sky as seen from Mars. This image is an illustration rendered digitally, not an actual photograph from Mars.  ",26-02-2021
9,https://www.reuters.com//article/uk-factcheck-half-million-deaths-ceremon/fact-check-ceremony-honoring-500000-covid-19-deaths-was-not-filmed-at-a-fake-white-house-nor-was-it-pre-recorded-idUSKBN2AQ2BJ,"Fact check: Ceremony honoring 500,000 COVID-19 deaths was not filmed at a ‘fake’ White House, nor was it pre-recorded","After President Joe Biden, first lady Jill Biden, Vice President Kamala Harris and second gentleman Doug Emhoff held a candle lighting ceremony at the White House to commemorate the grim milestone of 500,000 U.S. deaths from the coronavirus disease, posts on social media claimed that the event had either been pre-recorded or had taken place at a “fake” White House. Pointing to the different facades of the White House and the leaves on the south lawn’s trees as alleged proof, this claim is basele",26-02-2021
0,https://www.reuters.com//article/uk-factcheck-altered-photo-greta-soros/fact-check-altered-photograph-of-greta-thunberg-with-george-soros-idUSKBN2AQ231,Fact check: Altered photograph of Greta Thunberg with George Soros,Social media users have been sharing a photograph online that appears to show philanthropist George Soros with climate activist Greta Thunberg. This photograph has been digitally altered to include Soros.,26-02-2021
1,https://www.reuters.com//article/uk-factcheck-israel-mall/fact-check-video-shows-an-israeli-mall-which-reopened-despite-coronavirus-restrictions-asking-customers-for-vaccination-certificates-idUSKBN2AQ1NC,"Fact check: Video shows an Israeli mall, which reopened despite coronavirus restrictions, asking customers for vaccination certificates","Social media users have claimed a video shows an Israeli supermarket checking the vaccination status of customers before allowing them to enter. While the video is authentic, it shows the entrance to a shopping mall, not a supermarket, and was filmed before Israel reopened shopping malls to all. Supermarkets have remained open throughout the pandemic, with no checks on vaccination status.",26-02-2021
2,https://www.reuters.com//article/uk-factcheck-doe-texas-blocked-power/fact-check-doe-did-not-block-texas-from-boosting-power-output-ahead-of-winter-storm-idUSKBN2AQ170,Fact check: DOE did not block Texas from boosting power output ahead of winter storm,"Social media users have been circulating posts claiming that President Biden’s Department of Energy (DOE) in an emergency order blocked Texas from boosting power output  ahead of the winter storm and forced the Electric Reliability Council of Texas (ERCOT - the grid operator for approximately 90% of electricity in Texas) to raise rates, causing a surge in Texan electricity bills. Contrary to the claims in the posts, the emergency order authorized ERCOT to generate more power, allowing them to ex",26-02-2021
3,https://www.reuters.com//article/uk-factcheck-not-nasa-photo/fact-check-highly-detailed-sun-image-was-not-taken-by-nasa-idUSKBN2AP2V9,Fact check: Highly detailed sun image was not taken by NASA,"Posts on social media are sharing a highly detailed image of the sun’s surface up close, with captions such as, “The clearest picture of the sun from NASA.” The photograph, however, was not taken by the National Aeronautics and Space Administration (NASA) but a photographer who took the images with his telescope.",25-02-2021
4,https://www.reuters.com//article/uk-factcheck-covid-deaths/fact-check-nhs-england-data-does-not-show-there-have-only-been-3000-covid-deaths-idUSKBN2AP2TB,Fact check: NHS England data does not show there have only been 3000 COVID deaths,"A blog alleging that NHS records show only 3,000 people have died from COVID-19 has been shared widely online. However, this claim is false: deaths from COVID-19 that involve other conditions still ‘count’ as deaths from the novel coronavirus.",25-02-2021
5,https://www.reuters.com//article/uk-factcheck-wef/fact-check-the-world-economic-forum-does-not-have-a-stated-goal-to-have-people-own-nothing-by-2030-idUSKBN2AP2T0,Fact check: The World Economic Forum does not have a stated goal to have people own nothing by 2030,A video repeating misinformation about the World Economic Forum (WEF) has been shared widely on Facebook.,25-02-2021
6,https://www.reuters.com//article/uk-factcheck-masks-lockdowns/fact-check-video-contains-misleading-claims-over-mask-use-and-lockdowns-idUSKBN2AP2SO,Fact check: Video contains misleading claims over mask use and lockdowns,"A viral Facebook video liked more than 2,400 times makes misleading comments about the deadliness of the coronavirus pandemic and the efficacy of measures introduced to manage it.",25-02-2021
7,https://www.reuters.com//article/uk-factcheck-child-distance-toy/fact-check-baby-shield-is-a-prank-gift-box-idUSKBN2AP2QG,Fact check: ‘Baby shield’ is a prank gift box,"Social media users have been sharing pictures of a “baby shield” where parents interact with children behind a screen using gloves. The photos, however, come from a prank gift box which appears on the outside as if it contains the baby shield but is in fact empty.",25-02-2021
8,https://www.reuters.com//article/uk-factcheck-biden-wreath-laying-preside/factcheckbidens-wreath-layingceremonyisnot-evidence-thathe-is-not-anofficialpresident-idUSKBN2AP21R,Fact check: Biden’s wreath laying ceremony is not evidence that he is not an ‘official president’,"Social media users have been sharing a video online that highlights differences between President Joe Biden’s inauguration wreath laying ceremony at Arlington National Cemetery with those of past presidents, claiming this is evidence that Biden is not “an official president”. This claim is false; there were differences at Biden’s inauguration due to the requirement for social distancing during the COVID-19 pandemic. ",25-02-2021
9,https://www.reuters.com//article/uk-factcheck-ceo-coca-cola/fact-check-no-evidence-coca-cola-ceo-said-quote-about-right-winged-nuts-idUSKBN2AP21C,Fact check: No evidence Coca-Cola CEO said quote about ‘right winged nuts’,"Users on social media are sharing a quote they attribute to Coca-Cola Chief Executive James Quincey, allegedly in response to a “boycott” against the company. There is no evidence Quincey ever made such statement. A spokesperson for the company said the quote is fabricated.  ",25-02-2021
0,https://www.reuters.com//article/uk-factcheck-gendered-language-wholefood/fact-check-sign-about-gendered-language-is-from-australian-student-caf-not-u-s-grocery-chain-whole-foods-market-idUSKBN2AO2JP,"Fact check: Sign about ‘gendered language’ is from Australian student café, not U.S. grocery chain Whole Foods Market","Social media users have been sharing a sign online that asks customers not to use gendered language, suggesting that this sign was posted by U.S. supermarket chain Whole Foods Market. The sign, however, comes from Monash Wholefoods, which describes itself as a student-run vegan and vegetarian cafe in Australia, and is not related to the U.S. grocery chain.",25-02-2021
1,https://www.reuters.com//article/uk-factcheck-adverse-events/fact-check-severe-adverse-events-are-rare-following-mrna-covid-19-vaccines-idUSKBN2AO2TN,Fact check: Severe adverse events are rare following mRNA COVID-19 vaccines,"An interview discussing COVID-19 contains a number of false claims, such as that PCR tests are unable to diagnose COVID-19, that US data shows significant “severe” reactions to mRNA vaccines, and that the 2020 death rate in Ireland was the lowest in ten years.",24-02-2021
2,https://www.reuters.com//article/uk-factcheck-fake-biden-coca-cola/fact-check-fabricated-joe-biden-tweet-about-coca-cola-idUSKBN2AO2PP,Fact check: Fabricated Joe Biden tweet about Coca-Cola,Users on social media are sharing a screenshot of an alleged tweet by U.S. President Joe Biden saying he is proud to see Coca-Cola “educate their staff in cultural reappropriation.” This tweet appears to have been fabricated.,24-02-2021
3,https://www.reuters.com//article/uk-factcheck-covid-vaccines-not-os-with/fact-check-covid-19-vaccines-are-not-operating-systems-designed-to-program-humans-do-not-contain-fetal-cells-idUSKBN2AO2OY,Fact check: COVID-19 vaccines are not operating systems designed to program humans; do not contain fetal cells,"Flagged in Facebook’s efforts to combat the online spread of misinformation, posts claim that the COVID-19 vaccines currently being administered in the United States are actually operating systems designed to program those who receive them and that the doses contain cells from human fetuses. Both of these claims are false.",24-02-2021
4,https://www.reuters.com//article/uk-factcheck-fake-nostradamus-feeble-man/fact-check-no-evidence-nostradamus-wrote-a-feeble-man-shall-rule-the-western-world-with-jezebel-idUSKBN2AO27Q,Fact check: No evidence Nostradamus wrote ‘a feeble man shall rule the Western World with jezebel’,"Shared thousands of times on Facebook, posts claim 16th century French astrologer Nostradamus wrote a quote about “a feeble man” that “shall rule the Western World with jezebel” amid a “plague.” This is false. The quote, which started circulating in late Nov. 2020 after the U.S. presidential election, is probably fabricated to imitate the style of the astrologer, whose four-line verses, known as quatrains, are often said to predict the future.  ",24-02-2021
5,https://www.reuters.com//article/uk-factcheck-not-fake-snow/fact-check-explaining-fake-texas-snow-posts-and-scorched-snow-videos-idUSKBN2AN1R8,Fact check: Explaining ‘fake Texas snow’ posts and ‘scorched snow’ videos,"Correction February 24, 2021: Correcting spelling of Phil Plait’s name",24-02-2021
6,https://www.reuters.com//article/uk-factcheck-vaccine/fact-check-covid-19-vaccines-have-been-shown-to-be-safe-and-to-give-the-best-protection-against-the-novel-coronavirus-idUSKBN2AO1NY,Fact check: COVID-19 vaccines have been shown to be safe and to give the best protection against the novel coronavirus,A Facebook video showing a man shouting misinformation about the COVID-19 vaccine in a Specsavers opticians store has been shared online.,24-02-2021
7,https://www.reuters.com//article/uk-factcheck-remedies/fact-check-natural-remedies-do-not-prevent-or-cure-covid-19-but-evidence-shows-vaccines-are-effective-idUSKBN2AN2DC,"Fact check: Natural remedies do not prevent or cure COVID-19, but evidence shows vaccines are effective",A Facebook video making various false claims about the COVID-19 pandemic has been shared widely online.,23-02-2021
8,https://www.reuters.com//article/uk-factcheck-gates-gmo/fact-check-video-takes-bill-gates-comments-about-gmo-crops-out-of-context-idUSKBN2AN2CW,Fact check: Video takes Bill Gates’ comments about GMO crops out of context,Social media users have shared misleading videos of Microsoft co-founder turned philanthropist Bill Gates.,23-02-2021
9,https://www.reuters.com//article/uk-factcheck-agenda-2030/fact-check-agenda-2030-is-a-global-development-framework-that-is-not-linked-to-the-covid-19-pandemic-idUSKBN2AN2CQ,Fact check: Agenda 2030 is a global development framework that is not linked to the COVID-19 pandemic,"Users on social media have falsely suggested that a global framework for sustainable development named ""Agenda 2030"" is proof that the COVID-19 pandemic is part of a conspiracy.",23-02-2021
0,https://www.reuters.com//article/uk-factcheck-pelosi-mansion/fact-check-nancy-pelosi-does-not-reside-at-this-san-francisco-mansion-idUSKBN2AN1L8,Fact check: Nancy Pelosi does not reside at this San Francisco mansion,"Social media users have been sharing posts claiming House Speaker Nancy Pelosi lives in a mansion at the address 2724 Pacific Avenue in San Francisco, California. This claim is false.",23-02-2021
1,https://www.reuters.com//article/uk-factcheck-photo-frozen-pipe-2018/factcheckphoto-showing-frozen-pipe-burstin-kitchendates-back-to2018-idUSKBN2AN1KX,Fact check: Photo showing frozen pipe burst in kitchen dates back to 2018,"Social media users have been sharing a photograph online that shows a frozen pipe burst into a kitchen, claiming that it happened during the cold freeze in February 2021 in Texas. This claim is false. ",23-02-2021
2,https://www.reuters.com//article/uk-factcheck-uk-lockdown/fact-check-most-uk-lockdown-restrictions-will-continue-beyond-march-8-idUSKBN2AM2IK,Fact check: Most UK lockdown restrictions will continue beyond March 8,A social media post has made the false claim that the United Kingdom will fully come out of lockdown on March 8.,22-02-2021
3,https://www.reuters.com//article/uk-factcheck-masks-hypoxia/fact-check-no-evidence-mask-wearing-will-cause-bacterial-pneumonia-idUSKBN2AM2IC,Fact check: No evidence mask wearing will cause bacterial pneumonia,"A graphic shared on social media falsely suggests that wearing a mask will cause bacterial infections and hypoxia, a condition in which the body’s cells do not receive enough oxygen.",22-02-2021
4,https://www.reuters.com//article/uk-fact-check-2019-mars-panorama-not-fro/fact-check-2019-mars-panorama-shared-as-if-from-perseverance-idUSKBN2AM28C,Fact check: 2019 Mars panorama shared as if from Perseverance,"Over 20,000 social media users have shared a video which they claim is new, in-color footage of Mars with sound. The claim comes as NASA’s Perseverance rover, equipped to capture the first ever video of Mars and the first sound from its surface, starts exploring the planet. The claim is party false: the posts do show Mars, but the video is a film version of a panorama photo taken in 2019 by another rover called Curiosity which was not equipped with microphones, meaning the sound was edited onto ",22-02-2021
5,https://www.reuters.com//article/uk-fact-check-biden-texas-national-guard/fact-check-claims-that-biden-has-not-sent-the-national-guard-to-texas-amid-record-cold-snap-are-misleading-idUSKBN2AM28K,Fact check: Claims that Biden has not sent the National Guard to Texas amid record cold snap are misleading,"In the middle of historic cold weather that has forced the electric grid operator in Texas to impose rotating blackouts and left millions of Texans without heat, posts circulating on social media are asking why U.S. President Joe Biden has not “sent the National Guard to Texas with Food and Water and Temporary Shelter.” These posts are misleading, as the National Guard is typically activated by the state governor, as has been done in Texas. Meanwhile, Biden has approved an emergency declaration ",22-02-2021
6,https://www.reuters.com//article/uk-factcheck-2017-bucharest-protests-not/fact-check-photo-of-massive-protest-in-romania-is-four-years-old-and-unrelated-to-covid-19-restrictions-idUSKBN2AM286,Fact check: Photo of massive protest in Romania is four years old and unrelated to COVID-19 restrictions,"Flagged as part of Facebook’s efforts to combat the online spread of misinformation, posts claim that an image of a massive crowd in Bucharest, Romania shows a recent protest against COVID-19 restrictions. This photo has been mislabeled, as it is from 2017 and shows protests in Bucharest against the Social Democrat government’s efforts to weaken a crackdown on corruption. ",22-02-2021
7,https://www.reuters.com//article/uk-factcheck-fema-no-vouchers/fact-check-fema-is-not-giving-away-800-in-food-vouchers-to-texans-idUSKBN2AM246,Fact check: FEMA is not giving away $800 in food vouchers to Texans,Posts circulating on social media claim the U.S. Federal Emergency Management Agency (FEMA) is giving $800 in food vouchers to Texans after the devastating winter storm that caused widespread blackouts in the state. This is false.  ,22-02-2021
8,https://www.reuters.com//article/uk-factcheck-utah-recall-romney/fact-check-utah-republican-party-is-not-officially-recalling-mitt-romney-idUSKBN2AM1KV,Fact check: Utah Republican Party is not officially recalling Mitt Romney,"Posts circulating on social media allege that Utah has officially started to recall Utah Republican Senator Mitt Romney after he twice voted to convict former U.S. President Donald Trump. This claim is false. The chairman of the Utah Republican party told Reuters it was not condemning Romney and the U.S. Constitution does not provide for, nor authorise, the recall of senators.",22-02-2021
9,https://www.reuters.com//article/uk-factcheck-israel-vaccine/fact-check-video-does-not-show-man-dying-after-being-given-the-coronavirus-vaccine-idUSKBN2AM0T2,Fact check: Video does not show man dying after being given the coronavirus vaccine,A video on social media has been shared alongside a claim that it shows a man dying after receiving the coronavirus vaccine. This claim is false.,22-02-2021
0,https://www.reuters.com//article/uk-factcheck-covid-vaccine/fact-check-the-mrna-coronavirus-vaccine-is-a-vaccine-and-it-is-designed-to-prevent-illness-idUSKBN2AM0SS,"Fact check: The mRNA coronavirus vaccine is a vaccine, and it is designed to prevent illness","A video shared on social media has claimed that the mRNA coronavirus vaccine is not actually a vaccine, but a “device” designed to make people sick. This is false.",22-02-2021
1,https://www.reuters.com//article/uk-factcheck-vaccine-side-effects/fact-check-the-uk-government-has-not-blocked-the-office-for-national-statistics-from-publishing-data-about-covid-19-vaccine-side-effects-idUSKBN2AK0PQ,Fact check: The UK government has not blocked the Office for National Statistics from publishing data about COVID-19 vaccine side-effects,A claim circulating on social media that suggests the UK government has blocked the publication of data on coronavirus vaccine side-effects is false.,20-02-2021
2,https://www.reuters.com//article/uk-factcheck-fake-tweet-ted-cruz/fact-check-ill-believe-in-climate-change-when-texas-freezes-over-ted-cruz-tweet-appears-to-be-fabricated-idUSKBN2AJ2HH,Fact check: ‘I’ll believe in climate change when Texas freezes over’ Ted Cruz tweet appears to be fabricated,"After days of a historic winter storm hitting Texas, a viral screenshot circulating on social media alleged to shows a 2016 tweet by U.S. Senator Ted Cruz reading: “I’ll believe in climate change when Texas freezes over.” There is, however, no evidence Cruz ever tweeted this or made such a statement.",19-02-2021
3,https://www.reuters.com//article/uk-factcheck-hot-water-frozen-windshield/fact-check-pouring-hot-water-on-a-frozen-windshield-can-cause-damage-idUSKBN2AJ2GL,Fact check: Pouring hot water on a frozen windshield can cause damage,Social media users have been sharing posts that advise drivers to pour hot water on the windshield of their car to defrost it faster. This claim is false.,19-02-2021
